Género,Título,Adivinanza 2,Artista,Spotify
Vallenato,Ajena,"Algo que no te pertenece, pero sientes profundamente en tu corazón.",Nelson Velasquez,https://open.spotify.com/track/0InkfUhyIVjDUcV65GUqFV
Tropical,Al Desnudo,"Sin ropa ni máscaras, mostrando lo que realmente soy.","Bayardo de la Vega, Orquesta Travesuras",https://open.spotify.com/track/0ihnHiVJlxJYHua4TLnEkr
Urbana,AL GOLPITO,"Un toque ligero que acompaña el movimiento, pequeño golpe que hace vibrar el suelo.","Quevedo, Nueva Línea",https://open.spotify.com/track/7Btdfb0u6xW8GNawIvNESw
Pop Latino,Al lado del camino,"Junto a la senda que pisamos, donde el destino espera.",Fito Paez,https://open.spotify.com/track/4Ft15s9T7pcG7O85VbdxVl
Tropical,Al Rojo Vivo,Un intenso color que arde y se asocia a la pasión desenfrenada.,Charlie Cardona,https://open.spotify.com/track/02IfEuNuMzA5lMJAkUSmF7
Banda,Alch Si,Una respuesta afirmativa a una pregunta con un toque de misticismo.,"Carín León, Grupo Frontera",https://open.spotify.com/track/5cWgwbui8BasfjCXvBZ7UA
Pop Latino,Aléjate de Mí,Evita estar cerca de quien te causa dolor.,Camila,https://open.spotify.com/track/15AbuFJdFrbINydSMSqVhV
Tropical,Aléjate De Mí - Salsa,"Mantén la distancia, por favor, ya que tu presencia me hace daño.",Angeles,https://open.spotify.com/track/14BfagAf9eBYxrT1R6OMM9
Pop Latino,Algo contigo,Una cierta cosa que deseas compartir con alguien especial.,Andrés Calamaro,https://open.spotify.com/track/4VJZMZV7U4KK2GE4sSThVM
Plancha,Algo de Mí,"Una porción de mi ser que queda en el aire, como un recuerdo que nunca se va.",Camilo Sesto,https://open.spotify.com/track/1bDbdMiDaXpaDpqitYVriQ
Pop Latino,Algo Más,Una porción adicional de lo que se siente necesario para ser completo.,La Quinta Estacion,https://open.spotify.com/track/3bJBWsVNUJ3hOIO6lQUKCj
Urbana,Algo Me Gusta De Ti,Una emoción positiva hacia un aspecto atractivo de alguien especial.,"Wisin & Yandel, Chris Brown, T-Pain",https://open.spotify.com/track/2FqoR7diymD1Eh7cVb3DMg
Tropical,Algo Que Se Quede,"Una cosa que persista en el tiempo, que no se lleve el viento.",Grupo Niche,https://open.spotify.com/track/1JXcB149QtbcIpDUA6YZOB
Urbana,ALGO TÚ,Una porción de algo que pertenece a ti.,"Shakira, Beéle",https://open.spotify.com/track/1dHbcmMm9bov1q4lG7Q4nQ
Banda,Alguien Me Gusta,"Una persona que despierta interés en el corazón, pero no es solo una amistad.","Andy Rivera, Jhonny Rivera, Jessi Uribe",https://open.spotify.com/track/4iFTIshL0xDCw8JJUl5AJ3
Urbana,Alguien que te amaba,"Una persona que podía sentir lo que tú sentías, pero ya no está.",KAROL G,https://open.spotify.com/track/1ODtEk90QyddQlslqHkjAJ
Urbana,Alguien Robo,"Un ser inesperado tomó lo que te pertenece, dejándote vacío.","Sebastian Yatra, Nacho, Wisin",https://open.spotify.com/track/0pQoNBSZeRFuhLVH8gCVDT
Pop Anglo,All of Me,"Todo lo que soy, sin excepción, entregado por completo a ti.",John Legend,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
Tropical,Almohada,Un objeto blando donde reposan los sueños y las penas de la noche.,Tito Nieves,https://open.spotify.com/track/17IWD81zbAjCj6Lx6LMv7O
Banda,ALV,"Cuando respondas a una situación, ¿no usarás la frase inicial que se dice para despedir?","Arcángel, Grupo Frontera",https://open.spotify.com/track/32hCeeK3ayPux4UauNPsgA
Pop Anglo,Always,"Una palabra que indica continuidad, seguida de un término que remite a la existencia perpetua.",Bon Jovi,https://open.spotify.com/track/2RChe0r2cMoyOvuKobZy44
Urbana,AM,"La letra que nos une en un vínculo especial, como el comienzo de todo.","Nio Garcia, Flow La Movie",https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
Plancha,Amada Amante,"Quien posee tu cariño, y que a la vez es objeto de tu deseo.",Roberto Carlos,https://open.spotify.com/track/1EjTQ72d5YuDI3yD3n5e4a
Tropical,Amada Mía,Aquel ser que ocupa un lugar especial en el corazón.,Cheo Feliciano,https://open.spotify.com/track/3FisO1ah3lVv1kYyu4wSJb
Tropical,Amame,"Solicita cariño y afecto, como un abrazo que se desea recibir constantemente.",El Gran Combo De Puerto Rico,https://open.spotify.com/track/6QmoaIj5foG6h4cej26sl0
Vallenato,Ámame,Siente el deseo de que alguien te quiera profundamente.,Los inquietos del vallenato,https://open.spotify.com/track/5AzwDUHIsSSdcsvRgIcmZu
Plancha,Ámame Una Vez Más,"Deseo que me abraces nuevamente, como si fuera la primera vez.",Amanda Miguel,https://open.spotify.com/track/6TcVUedzB0NE0mg6bORhx0
Tropical,Amandote,"Sintiéndote en cada instante, como si estuvieras en plena conexión amorosa.",Gilberto Santa Rosa,https://open.spotify.com/track/5vBR1I29WsODATDVGcKfB6
Tropical,Amanecí Con Ganas De Ti,Desperté con deseos intensos de tu compañía.,Willy Garcia,https://open.spotify.com/track/5FuBiYJ9uUeeICyWntUPNU
Banda,Amanecí Contento,Un nuevo día ha llegado y me siento completamente alegre.,Jhon Alex Castaño,https://open.spotify.com/track/37nxtlD0prL0E0uPJ7G1bv
Vallenato,Amante y Amigo,Una conexión especial que cruza la frontera entre el cariño y la complicidad.,Los Gigantes Del Vallenato,https://open.spotify.com/track/3WzuHQ5FlKmKoHZAzjOKoM
Urbana,Amantes,Un par de personas que comparten más que solo afecto; un vínculo intenso.,"Greeicy, Mike Bahía",https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD
Tropical,Amantes Cobardes,Parejas temerosas que no se atreven a mostrar su amor en voz alta.,Willie Gonzalez,https://open.spotify.com/track/7GLn3iAM4zx4WGLm95XBO8
Vallenato,Amantes Inocentes,"Pareja apasionada, pero sin malicia ni astucia, en un mundo ajeno.","La Combinación Vallenata, Jean Carlos Centeno, Gigantes Del Vallenato",https://open.spotify.com/track/4DgZ6w7btR0E4pAb7I3bLs
Plancha,Amantes Mas Locos,Pareja apasionada que pierde la cordura en su devoción.,Joan Sebastian,https://open.spotify.com/track/0FYdF7HpjCrXct02OyVKG4
Tropical,Amar A Muerte,Sentir algo profundo y eterno que puede ser un fin o un inicio.,Eddie Santiago,https://open.spotify.com/track/6jMciXFmStsATTlBiBidpv
Urbana,Amarillo,"Un color que evoca el sol, la alegría y la energía vibrante de un nuevo comienzo.",J Balvin,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
Urbana,Ambulancia,Vehículo de emergencia que lleva ayuda donde más se necesita.,"Camilo, Camila Cabello",https://open.spotify.com/track/5OPte07J5hRK1pTn0f7ldr
Pop Anglo,American Boy,"Chico de Estados Unidos, listo para explorar la ciudad en busca de aventuras.","Estelle, Kanye West",https://open.spotify.com/track/6etwirSInfuJrSOlogS6Sh
Plancha,Amiga,Una persona cercana que comparte alegrías y penas en la vida.,Miguel Bosé,https://open.spotify.com/track/3Pr70knS8uTSiKbwf4rGav
Tropical,Amiga,Una persona cercana que siempre está a tu lado.,Rey Ruiz,https://open.spotify.com/track/4gy8TVpFHgK3GSEcgacGF1
Pop Latino,Amiga mía,Una compañera cercana que ocupa un lugar especial en tu corazón.,Alejandro Sanz,https://open.spotify.com/track/6kQYMqjobmB8MkWwa9OUyA
Banda,Amigos Con Derechos,"Vínculos que no son solo de camaradería, donde hay más que una simple amistad.",Jhon Alex Castaño,https://open.spotify.com/track/7FZmJSyS6LLOdFFV8nuQcU
Urbana,Amigos Con Derechos,Vínculos amistosos con permisos especiales para algo más que solo platicar.,"Reik, Maluma",https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524
Tropical,Amor Amor,"Sentimiento profundo que se repite, dos veces, en el aire y en el corazón.","Jhonsy de los Angeles, Angeles Bendecidos, Charlie Zaa",https://open.spotify.com/track/2xIlVtlJ8dZuVf3d9A2qq2
Pop Latino,Amor Clandestino,"Sentimientos ocultos que florecen a escondidas, lejos de miradas curiosas y juicios ajenos.",Maná,https://open.spotify.com/track/5etssK2rpk4SnHWWD1Q6xn
Tropical,Amor de Habitación,"Sentimientos intensos que florecen en un espacio íntimo, aquí es donde todo comienza.",Keko Hernández,https://open.spotify.com/track/6MHOYMwOkyLAizxJpYvwrg
Plancha,Amor de Mujer,El cariño que siente una persona por otra del sexo femenino.,Camilo Sesto,https://open.spotify.com/track/0ad2L8dGv8MtrZkHVNsjGa
Tropical,Amor De Papel,"Sentimientos frágiles, construidos con algo que no es real y se puede romper.",Tito Gomez,https://open.spotify.com/track/2ccabU9T3oFwcM0NnBXxpf
Urbana,Amor De Pobre,"Sentimientos intensos, pero sin recursos para demostrarlo.","Zion, Eddie Dee",https://open.spotify.com/track/1XC79bX6FnBuMgCiI05R9r
Tropical,Amor De Una Noche (feat. Julio Voltio) - Remix Version,Un sentimiento intenso que se desata pero solo perdura por un breve período.,"N'Klabe, Julio Voltio",https://open.spotify.com/track/6B9r2hH46YbSEvnivmeF5C
Pop Latino,Amor del Bueno,"Sentimiento genuino que todos desean y que, al encontrarlo, es más que maravilloso.",Reyli Barba,https://open.spotify.com/track/2G74yhtIMW8tJY5I83dS4Z
Tropical,Amor Fugaz,"Un sentimiento intenso que se escapa rápido, como un susurro en el viento.",Juan Manuel Lebron,https://open.spotify.com/track/6VzNrrPyJ4Yqa8xlOt3JVW
Vallenato,Amor Herido,"Un sentimiento afectado por una pérdida, marcado por el dolor.",Los inquietos del vallenato,https://open.spotify.com/track/2GyJHfivuSxcBWktSrFwxm
Urbana,Amor Imposible - Versión de Erick,El vínculo que sientes pero que no puede ser real.,"Caracol Televisión, David Botero",https://open.spotify.com/track/59fevrQI1poILO15e6jmvg
Plancha,Amor Libre,"Sentimiento sin cadenas, donde el corazón elige sin restricciones.",Camilo Sesto,https://open.spotify.com/track/0hl5SFNlqgHrfrXLNyOADU
Tropical,Amor Lunático,Un sentimiento profundo que se siente bajo la luz plateada de la noche.,Giro,https://open.spotify.com/track/2qW91WpZ1LyxZ52BaiovxU
Plancha,Amor Mío ¿Qué Me Has Hecho?,El cariño que siento por ti me ha dejado un profundo impacto.,Camilo Sesto,https://open.spotify.com/track/7FONuba0etgjuJcUTjkMVB
Plancha,Amor No Me Ignores,"Sentimientos que no reciben respuesta, pido atención del corazón que anhela.",Camilo Sesto,https://open.spotify.com/track/5WAAN3MdyF3NiFHtQLIhPc
Tropical,Amor Perfecto,El afecto ideal que todos anhelan encontrar.,El Gran Combo De Puerto Rico,https://open.spotify.com/track/0wq2MvqtYwiKQG8pjl90NC
Tropical,Amor Pirata,Un sentimiento profundo que navega en un barco de desamor.,Willie Gonzalez,https://open.spotify.com/track/69c1CihJVVHHna5cdkMNAd
Banda,Amor Prohibido,Sentimientos intensos que no se pueden compartir abiertamente.,"Dayanara, Yeison Jimenez",https://open.spotify.com/track/4VzOkdEFxNZXrIybRmpjhv
Plancha,Amor Prohibido,Un sentimiento intenso que no se puede vivir abiertamente.,Selena,https://open.spotify.com/track/1kCewNSs909Xj1naXr36X8
Banda,AMOR PROPIO,"El cariño que debes tener hacia ti mismo, ese respeto que no se debe perder.",Grupo Frontera,https://open.spotify.com/track/01cN1DKc5HH7F9MOBBjSip
Tropical,Amor Que Mata,Un sentimiento tan intenso que puede ser fatal si no se controla.,Mariano Civico,https://open.spotify.com/track/7HeWW1mnNLopNIOqtdXoJE
Vallenato,Amor Sin Fronteras,"Un cariño que no conoce límites ni barreras, se siente en cualquier lugar.","Erick Escobar, Nayo Quintero, La Decision Vallenata",https://open.spotify.com/track/0Ps0Iu78N8aGZAB5tGFS27
Banda,Amor Verdadero,El cariño genuino que no se disimula ni se oculta.,Alzate,https://open.spotify.com/track/1T9fuxX8eO5LbpYxq80faP
Tropical,Amor y Control,Sentimientos profundos y la habilidad de manejar lo que se siente en el corazón.,Rubén Blades,https://open.spotify.com/track/1oUjLEp7oCpjQlSCiwBZsF
Tropical,"Amor, Cuánto Te Amo - En vivo","Sentimiento profundo y un fuerte vínculo, ¿cuánto me quieres, mi querido?","Grupo Galé, Diego Galé",https://open.spotify.com/track/61ZyA4Cj743hZJvH9uZbWg
Plancha,Amor... Amar,"Sentimiento profundo que se siente por alguien, seguido de la acción de dar a otros el mismo sentimiento.",Camilo Sesto,https://open.spotify.com/track/7q4mEwUErCsYFXy6AwTHSU
Tropical,Ana Mile,Un término que se refiere a un ser femenino de características nobles.,Grupo Niche,https://open.spotify.com/track/5ZNLNqz5rGeTi6FzWmuETk
Urbana,Anaranjado,Un color cálido que evoca atardeceres y alegría.,"Jowell & Randy, J Balvin",https://open.spotify.com/track/5iw28wvyHgj4ppOu5AdcEU
Tropical,Anda y Ve,"Mueve tus pies, pero no aquí; sigue adelante y explora lo que hay.",Frankie Ruiz,https://open.spotify.com/track/59Cmvy0bCynWrtCXl1tnLZ
Pop Latino,Andar Conmigo,"Acompañame en este viaje, ¿quieres caminar a mi lado?",Julieta Venegas,https://open.spotify.com/track/05iMQqncVBIm4AE26EvaTL
Urbana,Andas En Mi Cabeza,"Eres la idea que no se apaga, siempre rondando en mis pensamientos.","Chino & Nacho, Daddy Yankee",https://open.spotify.com/track/23WI5V2eD4EyGKxSl7Pyeq
Banda,ÁNGEL,"Ser celestial que ayuda en momentos difíciles, a menudo se le atribuyen alas.","Grupo Frontera, Romeo Santos",https://open.spotify.com/track/4JtKlgBLKHtRTqixKHrrw8
Banda,Ángel o Demonio,"Serafín o mala entidad; en tu corazón, la lucha eterna de la dualidad.","Fredy Montoya, Luisito Muñoz",https://open.spotify.com/track/4gjye5pqoFD2gsixKnElhv
Urbana,Angelito,Un pequeño ser alado que acompaña con ternura en momentos difíciles.,Aventura,https://open.spotify.com/track/4s8r4lbbUXF3xFdEXWgTrs
Tropical,Anhelo,Un deseo profundo que arde en el corazón.,Adolescent's Orquesta,https://open.spotify.com/track/4HIeIbJeQMUurTM57KVQU7
Plancha,Anoche Hablamos,Un encuentro reciente donde las palabras fluyeron como en un diálogo profundo.,Joan Sebastian,https://open.spotify.com/track/0wQSuOYPc1QvEdOsPYJjkk
Pop Anglo,Another One Bites The Dust,"Un ser que cae a la tierra, sumando más a la lista.",Queen,https://open.spotify.com/track/2k1yPYf9WGA4LiqcLVwtzn
Tropical,Antídoto Y Veneno,"Una solución y un problema, dos sustancias que pueden ser lo mismo o lo opuesto.",Eddie Santiago,https://open.spotify.com/track/6qLWTeDmgrC5Id2lTb4Hdq
